position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Midfielder,Pepelu,pepelu,826948,23/24,39,3495,8,1,,39,8,38,13,1,39,1,62,3,13,1785,82.6,150,56.2,52,31.5,12,5,0,0,36,86,51,8,59,8,7.28,1,4.52,9,11.80
Midfielder,Pepelu,pepelu,826948,24/25,36,2010,2,3,,36,2,19,7,0,36,3,38,7,10,1106,84.8,106,61.6,32,25.6,6,7,1,0,16,52,27,4,24,2,1.30,3,2.51,5,3.81
