position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Forward,Gerard Moreno,gerard-moreno,146866,23/24,37,2604,11,7,7.30
Forward,Gerard Moreno,gerard-moreno,146866,24/25,15,715,3,1,7.11
