position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Forward,Ayoze Perez,ayoze-perez,345195,23/24,38,2680,11,2,7.03
Forward,Ayoze Perez,ayoze-perez,345195,24/25,29,1853,19,4,7.28
