position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Defender,Alfonso Pedraza,alfonso-pedraza,797290,23/24,24,1333,1,3,6.63
Defender,Alfonso Pedraza,alfonso-pedraza,797290,24/25,9,275,0,0,6.68
