position,name,sofascore_name,id,Year,General_MP,General_MIN,General_CLS,General_GC,General_ASR,Goalkeeping_MP,Goalkeeping_SAV,Goalkeeping_SAV%,Goalkeeping_PS,Goalkeeping_PS%
Goalkeeper,Diego Conde,diego-conde,951008,23/24,40,3518,17,26,,40,78,75.0,0,
Goalkeeper,Diego Conde,diego-conde,951008,24/25,21,1873,2,31,,21,59,65.6,0,
