position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Defender,Eric Bailly,eric-bailly,606346,23/24,20,1515,0,0,6.70
Defender,Eric Bailly,eric-bailly,606346,24/25,12,627,0,0,6.53
