position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Defender,Kiko Femenia,kiko-femenia,53739,23/24,29,2011,0,1,6.82
Defender,Kiko Femenia,kiko-femenia,53739,24/25,28,2229,0,1,6.89
