position,name,sofascore_name,id,Year,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_GLS,Additional_xG,Additional_AST,Additional_XA,Additional_GI,Additional_XGI
Midfielder,Dani Parejo,dani-parejo,39182,23/24,41,3164,4,5,7.12,41,4,18,7,0,41,5,42,6,21,1978,90.2,143,74.1,26,33.8,4,5,0,1,32,52,25,4,27,4,3.20,5,4.72,9,7.92
Midfielder,Dani Parejo,dani-parejo,39182,24/25,34,2232,3,3,7.05,34,3,13,4,1,34,3,21,2,8,1349,89.3,95,66.9,13,36.1,1,6,0,0,23,53,23,3,22,3,2.42,3,1.82,6,4.23
