position,name,sofascore_name,id,Year,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_GLS,Additional_xG,Additional_AST,Additional_XA,Additional_GI,Additional_XGI
Midfielder,Santi Comesaña,santi-comesana,843678,23/24,36,2138,3,0,,36,3,25,9,3,36,0,20,3,28,1025,87.5,54,70.1,1,10.0,3,9,2,0,25,50,23,6,37,3,2.52,0,1.61,3,4.13
Midfielder,Santi Comesaña,santi-comesana,843678,24/25,34,2418,3,2,,34,3,36,7,3,34,2,26,3,16,1103,85.6,56,60.2,5,35.7,3,8,0,0,30,85,17,8,31,3,4.05,2,2.40,5,6.45
