position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Forward,Nicolas Pépé,nicolas-pepe,593526,23/24,20,1149,6,2,7.03
Forward,Nicolas Pépé,nicolas-pepe,593526,24/25,24,1221,2,5,7.08
