position,name,sofascore_name,id,Year,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_GLS,Additional_xG,Additional_AST,Additional_XA,Additional_GI,Additional_XGI
Midfielder,Yéremy Pino,yeremy-pino,984624,23/24,10,622,0,0,6.86,10,0,9,4,1,10,0,7,0,9,163,82.3,7,63.6,3,42.9,0,5,0,0,10,27,7,2,9,0,1.42,0,0.61,0,2.04
Midfielder,Yéremy Pino,yeremy-pino,984624,24/25,31,1735,3,7,6.96,31,3,27,7,5,31,7,37,9,22,458,77.9,11,52.4,9,18.0,0,10,0,0,28,53,9,12,11,3,3.31,7,3.27,10,6.58
