position,name,sofascore_name,id,Year,General_MP,General_MIN,General_GLS,General_AST,General_ASR,Shooting_MP,Shooting_GLS,Shooting_TOS,Shooting_SOT,Shooting_BCM,Team play_MP,Team play_AST,Team play_KEYP,Team play_BCC,Team play_SDR,Passing_APS,Passing_APS%,Passing_ALB,Passing_LBA%,Passing_ACR,Passing_CA%,Defending_CLS,Defending_YC,Defending_RC,Defending_ELTG,Defending_DRP,Defending_TACK,Defending_INT,Defending_BLS,Defending_ADW,Additional_GLS,Additional_xG,Additional_AST,Additional_XA,Additional_GI,Additional_XGI
Defender,Logan Costa,logan-costa,911853,23/24,38,3278,1,1,6.96,38,1,15,5,3,38,1,7,1,7,1734,83.2,138,47.9,2,11.1,7,7,1,0,11,54,28,2,74,1,1.39,1,0.85,2,2.23
Defender,Logan Costa,logan-costa,911853,24/25,31,2450,2,0,6.87,31,2,11,5,0,31,0,4,1,0,1266,87.1,101,50.8,1,20.0,5,2,0,0,4,39,22,0,47,2,0.68,0,0.51,2,1.19
