position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Defender,Sergi Cardona,sergi-cardona,986245,23/24,36,2906,1,2,7.09
Defender,Sergi Cardona,sergi-cardona,986245,24/25,33,2819,1,7,7.06
