position,name,sofascore_name,id,Year,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,General_OF_ASR
Defender,Juan Foyth,juan-foyth,873189,23/24,16,1321,1,1,6.96
Defender,Juan Foyth,juan-foyth,873189,24/25,16,1256,1,0,7.15
