position,name,sofascore_name,id,Year,General_MP,General_MIN,General_CLS,General_GC,General_ASR,Goalkeeping_MP,Goalkeeping_SAV,Goalkeeping_SAV%,Goalkeeping_PS,Goalkeeping_PS%
Goalkeeper,Luiz Junior,luiz-junior,1066603,23/24,34,3060,8,41,,34,114,73.5,3,37.5
Goalkeeper,Luiz Junior,luiz-junior,1066603,24/25,17,1457,4,18,,17,44,71.0,0,
