name,team,position,total_points,games_played,current_value,max_value_1y,season,possible_value_improvement,points_per_value,points_per_game,current_team
Nikitscher,Real Valladolid,Midfielder,0,0,230000,230000.0,24/25,0.0,0.0,,Real Valladolid
Loiodice,Las Palmas,Midfielder,0,0,200000,200000.0,24/25,0.0,0.0,,Las Palmas
Jhon Solís,Girona,Midfielder,0,0,200000,200000.0,24/25,0.0,0.0,,Girona
Arnáiz,Osasuna,Forward,34,14,150000,450000.0,24/25,300000.0,226.67,2.43,Osasuna
Mateu Morey,Mallorca,Defender,34,14,150000,230000.0,24/25,80000.0,226.67,2.43,Mallorca
Sergi Gómez,Espanyol,Defender,0,0,240000,240000.0,24/25,0.0,0.0,,Espanyol
Gragera,Espanyol,Midfielder,32,10,300000,2050000.0,24/25,1750000.0,106.67,3.2,Espanyol
Roberto López,Leganés,Midfielder,0,0,300000,300000.0,24/25,0.0,0.0,,Leganés
Duk,Leganés,Forward,0,0,260000,260000.0,24/25,0.0,0.0,,Leganés
Amath,Real Valladolid,Forward,0,0,210000,210000.0,24/25,0.0,0.0,,Real Valladolid
Adrián Pica,Alavés,Defender,0,0,150000,150000.0,24/25,0.0,0.0,,Alavés
Ter Stegen,Barcelona,Goalkeeper,30,7,2330000,8090000.0,24/25,5760000.0,12.88,4.29,Barcelona
Juan Soriano,Leganés,Goalkeeper,0,0,440000,440000.0,24/25,0.0,0.0,,Leganés
Chicco,Leganés,Midfielder,30,13,170000,280000.0,24/25,110000.0,176.47,2.31,Leganés
Guillamón,Valencia,Midfielder,28,12,250000,880000.0,24/25,630000.0,112.0,2.33,Valencia
Özkacar,Real Valladolid,Defender,0,0,150000,150000.0,24/25,0.0,0.0,,Real Valladolid
Facundo Garcés,Alavés,Defender,27,8,710000,710000.0,24/25,0.0,38.03,3.38,Alavés
Lunin,Real Madrid,Goalkeeper,0,0,540000,540000.0,24/25,0.0,0.0,,Real Madrid
Álvaro Pascual,Sevilla,Forward,27,6,170000,170000.0,24/25,0.0,158.82,4.5,Sevilla
Eric Bailly,Villarreal,Defender,0,0,290000,290000.0,24/25,0.0,0.0,,Villarreal
Nianzou,Sevilla,Defender,0,0,210000,210000.0,24/25,0.0,0.0,,Sevilla
Peio Canales,Athletic,Midfielder,0,0,150000,150000.0,24/25,0.0,0.0,,Athletic
Álvaro Fernández,Sevilla,Goalkeeper,0,0,420000,420000.0,24/25,0.0,0.0,,Sevilla
Iván Jaime,Valencia,Midfielder,0,0,370000,370000.0,24/25,0.0,0.0,,Valencia
Manquillo,Celta,Defender,0,0,200000,200000.0,24/25,0.0,0.0,,Celta
Manu Bueno,Sevilla,Midfielder,0,0,190000,190000.0,24/25,0.0,0.0,,Sevilla
Sedlar,Alavés,Defender,23,8,210000,580000.0,24/25,370000.0,109.52,2.88,Alavés
Mariezkurrena,Real Sociedad,Forward,0,0,190000,190000.0,24/25,0.0,0.0,,Real Sociedad
David Alaba,Real Madrid,Defender,0,0,1210000,1210000.0,24/25,0.0,0.0,,Real Madrid
Ansu Fati,Barcelona,Forward,22,6,1100000,4470000.0,24/25,3370000.0,20.0,3.67,Barcelona
Dani Cárdenas,Rayo Vallecano,Goalkeeper,0,0,440000,440000.0,24/25,0.0,0.0,,Rayo Vallecano
Marcão,Sevilla,Defender,0,0,230000,230000.0,24/25,0.0,0.0,,Sevilla
Yoel Lago,Celta,Defender,22,7,220000,220000.0,24/25,0.0,100.0,3.14,Celta
Angel Ortiz,Betis,Defender,0,0,320000,320000.0,24/25,0.0,0.0,,Betis
Marc Cardona,Las Palmas,Forward,0,0,180000,180000.0,24/25,0.0,0.0,,Las Palmas
Zakharyan,Real Sociedad,Midfielder,0,0,240000,240000.0,24/25,0.0,0.0,,Real Sociedad
Franco Cervi,Celta,Forward,0,0,150000,150000.0,24/25,0.0,0.0,,Celta
Antonio Candela,Real Valladolid,Defender,0,0,150000,150000.0,24/25,0.0,0.0,,Real Valladolid
Owono,Alavés,Goalkeeper,0,0,340000,340000.0,24/25,0.0,0.0,,Alavés
Pelmard,Las Palmas,Defender,0,0,180000,180000.0,24/25,0.0,0.0,,Las Palmas
Vieites,Betis,Goalkeeper,0,0,410000,410000.0,24/25,0.0,0.0,,Betis
Chiquinho,Mallorca,Forward,0,0,160000,160000.0,24/25,0.0,0.0,,Mallorca
Iván Villar,Celta,Goalkeeper,0,0,370000,370000.0,24/25,0.0,0.0,,Celta
Ramón Martínez,Sevilla,Defender,0,0,260000,260000.0,24/25,0.0,0.0,,Sevilla
Ristic,Celta,Defender,0,0,150000,150000.0,24/25,0.0,0.0,,Celta
Marc Bernal,Barcelona,Midfielder,0,0,150000,150000.0,24/25,0.0,0.0,,Barcelona
Etta Eyong,Villarreal,Forward,0,0,460000,460000.0,24/25,0.0,0.0,,Villarreal
Lemar,Atlético,Midfielder,0,0,200000,200000.0,24/25,0.0,0.0,,Atlético
Jacobo Ramón,Real Madrid,Defender,14,2,190000,560000.0,24/25,370000.0,73.68,7.0,Real Madrid
Justin Smith,Espanyol,Midfielder,0,0,150000,150000.0,24/25,0.0,0.0,,Espanyol
André Ferreira,Real Valladolid,Goalkeeper,13,6,260000,1070000.0,24/25,810000.0,50.0,2.17,Real Valladolid
Aidoo,Real Valladolid,Defender,0,0,210000,210000.0,24/25,0.0,0.0,,Real Valladolid
Risco,Getafe,Midfielder,12,5,150000,640000.0,24/25,490000.0,80.0,2.4,Getafe
Aitor Fernández,Osasuna,Goalkeeper,11,1,270000,450000.0,24/25,180000.0,40.74,11.0,Osasuna
Hugo Novoa,Alavés,Defender,0,0,160000,160000.0,24/25,0.0,0.0,,Alavés
Christensen,Barcelona,Defender,9,3,730000,4100000.0,24/25,3370000.0,12.33,3.0,Barcelona
Martín Tejón,Valencia,Midfielder,0,0,350000,,24/25,,0.0,,Valencia
Akor Adams,Sevilla,Forward,0,0,250000,,24/25,,0.0,,Sevilla
Dimitrievski,Valencia,Goalkeeper,0,0,450000,,24/25,,0.0,,Valencia
Pablo García,Betis,Forward,7,3,320000,,24/25,,21.88,2.33,Betis
Vallejo,Real Madrid,Defender,0,0,150000,,24/25,,0.0,,Real Madrid
Pelayo,Rayo Vallecano,Defender,0,0,150000,,24/25,,0.0,,Rayo Vallecano
Sergi Domínguez,Barcelona,Defender,0,0,150000,,24/25,,0.0,,Barcelona
Max Aarons,Valencia,Defender,0,0,230000,,24/25,,0.0,,Valencia
Adrián Rodríguez,Alavés,Goalkeeper,6,2,150000,,24/25,,40.0,3.0,Alavés
