name,team,position,total_points,games_played,current_value,max_value_1y,season,possible_value_improvement,points_per_value,points_per_game,current_team
Portu,Girona,Forward,70,25,1720000,6480000.0,24/25,4760000.0,40.7,2.8,Girona
Vesga,Athletic,Midfielder,70,23,320000,1290000.0,24/25,970000.0,218.75,3.04,Athletic
Adrián,Betis,Goalkeeper,69,16,1510000,1510000.0,24/25,0.0,45.7,4.31,Betis
Iñaki Peña,Barcelona,Goalkeeper,69,15,760000,4270000.0,24/25,3510000.0,90.79,4.6,Barcelona
Herrando,Osasuna,Defender,68,18,1200000,1870000.0,24/25,670000.0,56.67,3.78,Osasuna
Balliu,Rayo Vallecano,Defender,68,22,500000,1720000.0,24/25,1220000.0,136.0,3.09,Rayo Vallecano
Juanmi,Getafe,Forward,68,23,460000,3110000.0,24/25,2650000.0,147.83,2.96,Getafe
Moussa Diarra,Alavés,Defender,0,0,280000,280000.0,24/25,0.0,0.0,,Alavés
Abdón Prats,Mallorca,Forward,68,24,210000,1020000.0,24/25,810000.0,323.81,2.83,Mallorca
Alejo Véliz,Espanyol,Forward,67,25,300000,3470000.0,24/25,3170000.0,223.33,2.68,Espanyol
Moi Gómez,Osasuna,Midfielder,66,25,310000,2560000.0,24/25,2250000.0,212.9,2.64,Osasuna
Fran Pérez,Valencia,Forward,66,24,190000,860000.0,24/25,670000.0,347.37,2.75,Valencia
Coba Gomes,Getafe,Forward,65,17,390000,2520000.0,24/25,2130000.0,166.67,3.82,Getafe
Calero,Espanyol,Defender,65,18,250000,1130000.0,24/25,880000.0,260.0,3.61,Espanyol
Bernat,Getafe,Defender,64,23,470000,1840000.0,24/25,1370000.0,136.17,2.78,Getafe
Damián Rodríguez,Celta,Midfielder,64,17,340000,2730000.0,24/25,2390000.0,188.24,3.76,Celta
Losada,Celta,Forward,64,22,280000,1620000.0,24/25,1340000.0,228.57,2.91,Celta
Adrià Altimira,Leganés,Defender,63,20,250000,360000.0,24/25,110000.0,252.0,3.15,Leganés
Cheddira,Espanyol,Forward,63,21,190000,1230000.0,24/25,1040000.0,331.58,3.0,Espanyol
Fer López,Celta,Midfielder,62,15,3440000,3720000.0,24/25,280000.0,18.02,4.13,Celta
Pablo Torre,Barcelona,Midfielder,62,10,350000,2240000.0,24/25,1890000.0,177.14,6.2,Barcelona
Aihen,Real Sociedad,Defender,62,20,290000,550000.0,24/25,260000.0,213.79,3.1,Real Sociedad
Agirrezabala,Athletic,Goalkeeper,61,14,550000,2080000.0,24/25,1530000.0,110.91,4.36,Athletic
Benavidez,Alavés,Midfielder,61,16,260000,3490000.0,24/25,3230000.0,234.62,3.81,Alavés
Herzog,Las Palmas,Defender,61,17,170000,410000.0,24/25,240000.0,358.82,3.59,Las Palmas
Reinildo,Atlético,Defender,60,19,390000,2340000.0,24/25,1950000.0,153.85,3.16,Atlético
Witsel,Atlético,Defender,60,12,380000,3600000.0,24/25,3220000.0,157.89,5.0,Atlético
Turrientes,Real Sociedad,Midfielder,60,19,370000,3190000.0,24/25,2820000.0,162.16,3.16,Real Sociedad
Azpilicueta,Atlético,Defender,60,12,330000,2240000.0,24/25,1910000.0,181.82,5.0,Atlético
Carlos Dominguez,Celta,Defender,60,17,310000,1440000.0,24/25,1130000.0,193.55,3.53,Celta
Rubén Peña,Osasuna,Midfielder,60,24,280000,2250000.0,24/25,1970000.0,214.29,2.5,Osasuna
Miovski,Girona,Forward,60,17,210000,3180000.0,24/25,2970000.0,285.71,3.53,Girona
Szczęsny,Barcelona,Goalkeeper,59,14,4260000,6290000.0,24/25,2030000.0,13.85,4.21,Barcelona
Ronald Araújo,Barcelona,Defender,59,10,3790000,8540000.0,24/25,4750000.0,15.57,5.9,Barcelona
Arthur,Girona,Midfielder,59,13,3350000,5110000.0,24/25,1760000.0,17.61,4.54,Girona
Urko Gonzalez,Espanyol,Defender,59,15,1610000,1770000.0,24/25,160000.0,36.65,3.93,Espanyol
Yarek,Valencia,Defender,58,15,380000,2150000.0,24/25,1770000.0,152.63,3.87,Valencia
Darwin Machís,Real Valladolid,Forward,58,18,170000,1270000.0,24/25,1100000.0,341.18,3.22,Real Valladolid
Diakhaby,Valencia,Defender,57,11,920000,1360000.0,24/25,440000.0,61.96,5.18,Valencia
Ricardo Rodríguez,Betis,Defender,57,16,340000,2510000.0,24/25,2170000.0,167.65,3.56,Betis
Juan Cruz,Osasuna,Defender,57,22,250000,340000.0,24/25,90000.0,228.0,2.59,Osasuna
Olivan,Espanyol,Defender,57,17,230000,400000.0,24/25,170000.0,247.83,3.35,Espanyol
Marvin,Las Palmas,Defender,57,21,220000,1320000.0,24/25,1100000.0,259.09,2.71,Las Palmas
Suso,Sevilla,Forward,56,14,2180000,2180000.0,24/25,0.0,25.69,4.0,Sevilla
Akhomach,Villarreal,Forward,56,11,470000,3430000.0,24/25,2960000.0,119.15,5.09,Villarreal
Pau Víctor,Barcelona,Forward,56,19,380000,2290000.0,24/25,1910000.0,147.37,2.95,Barcelona
Jon Martín,Real Sociedad,Defender,55,12,1360000,1380000.0,24/25,20000.0,40.44,4.58,Real Sociedad
Mendy,Real Madrid,Defender,55,14,470000,4440000.0,24/25,3970000.0,117.02,3.93,Real Madrid
Nyom,Getafe,Midfielder,55,17,280000,1230000.0,24/25,950000.0,196.43,3.24,Getafe
Francés,Girona,Defender,55,16,200000,2010000.0,24/25,1810000.0,275.0,3.44,Girona
Leo Román,Mallorca,Goalkeeper,54,7,560000,980000.0,24/25,420000.0,96.43,7.71,Mallorca
Djaló,Athletic,Forward,54,17,360000,3580000.0,24/25,3220000.0,150.0,3.18,Athletic
Conechny,Alavés,Forward,54,20,240000,2170000.0,24/25,1930000.0,225.0,2.7,Alavés
Sannadi,Athletic,Forward,53,13,3150000,4700000.0,24/25,1550000.0,16.83,4.08,Athletic
Endrick,Real Madrid,Forward,53,21,1850000,5800000.0,24/25,3950000.0,28.65,2.52,Real Madrid
Roro Riquelme,Atlético,Midfielder,53,16,400000,3710000.0,24/25,3310000.0,132.5,3.31,Atlético
Carvajal,Real Madrid,Defender,53,8,350000,11630000.0,24/25,11280000.0,151.43,6.62,Real Madrid
Valery,Mallorca,Midfielder,53,17,320000,1690000.0,24/25,1370000.0,165.62,3.12,Mallorca
Cömert,Real Valladolid,Defender,53,24,230000,1790000.0,24/25,1560000.0,230.43,2.21,Real Valladolid
