current_team,position,name,sofascore_name,id,Year,General_rating_GK_ASR,General_GK_MP,General_GK_MIN,General_GK_CLS,General_GK_GC,Goalkeeping_GK_MP,Goalkeeping_GK_SAV,Goalkeeping_GK_SAV%,Goalkeeping_GK_PS,Goalkeeping_GK_PS%,Passing_GK_APS,Passing_GK_APS%,Passing_GK_ALB,Passing_GK_LBA%,Defending_GK_CLS,Defending_GK_YC,Defending_GK_RC,Defending_GK_ELTG,Defending_GK_DRP,Defending_GK_TACK,Defending_GK_INT,Defending_GK_ADW,Additional_GK_GC,Additional_GK_xGC,Additional_GK_GP
Betis,Goalkeeper,Francisco Vieites,francisco-vieites,929975,23/24,7.18,4,315,2,4,4,14,77.8,,,58,58.6,19,32.2,2,0,0,0,0,1,0,1,4,4.5,0.54
Betis,Goalkeeper,Francisco Vieites,francisco-vieites,929975,24/25,6.71,16,1470,4,19,16,25,56.8,0,,277,63.8,89,36.5,4,2,0,0,0,0,0,3,19,15.4,-3.64
