current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,19/20,6.74,12,939,0,0,12,0,1,0,0,12,0,5,0,11,310,78.1,26,42.6,5,21.7,2,2,0,0,8,31,16,1,14,0,,0,,0,
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,20/21,6.83,32,2441,2,1,32,2,9,3,0,32,1,19,1,29,849,75.9,69,44.5,14,20.6,6,7,1,1,25,58,54,0,35,2,,1,,3,
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,21/22,6.80,22,1623,0,1,22,0,4,2,1,22,1,8,2,11,380,68.7,40,43.0,3,5.7,5,6,0,0,16,39,23,1,25,0,,1,,1,
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,22/23,6.90,28,2135,0,0,28,0,6,0,0,28,0,15,1,13,897,79.3,55,47.0,26,29.2,3,6,0,1,25,75,27,3,26,0,0.27,0,2.10,0,2.37
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,23/24,6.89,35,2399,0,2,35,0,5,2,2,35,2,21,4,28,928,77.7,60,33.3,17,27.9,5,4,1,0,24,73,35,2,18,0,0.62,2,2.47,2,3.09
ValenciaCF,Defender,Thierry Correia,correia-thierry,851282,24/25,6.73,11,771,0,0,11,0,7,3,1,11,0,5,0,9,248,73.4,13,27.7,4,22.2,1,1,0,0,10,27,4,0,4,0,0.32,0,0.76,0,1.08
