current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,16/17,7.13,44,3798,1,4,44,1,21,6,0,44,4,22,1,12,2367,86.5,137,48.8,8,17.0,17,4,0,0,40,97,79,2,87,1,,4,,5,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,17/18,7.25,52,4725,3,7,52,3,17,4,1,52,7,40,13,8,3215,86.7,169,46.9,17,17.5,19,2,0,0,37,105,84,5,99,3,,7,,10,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,18/19,7.06,57,4866,1,7,57,1,23,9,0,57,7,38,6,12,3071,86.4,62,36.0,25,16.4,19,7,0,0,45,138,70,7,97,1,,7,,8,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,19/20,7.10,49,4313,4,7,49,4,35,9,0,49,7,55,9,13,2495,80.9,107,42.8,38,25.5,9,5,0,0,44,107,88,10,117,4,,7,,11,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,20/21,7.13,43,3622,1,3,43,1,17,6,1,43,3,38,5,10,2532,85.9,74,34.9,12,19.4,21,7,1,0,28,89,42,2,87,1,,3,,4,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,21/22,6.99,47,3635,3,3,47,3,28,10,2,47,3,28,6,20,2395,85.7,63,38.7,11,12.8,12,4,0,1,32,80,44,8,77,3,,3,,6,
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,22/23,6.80,32,1838,0,0,32,0,9,1,0,32,0,19,4,8,1017,84.9,16,26.7,10,31.3,3,4,0,1,16,52,22,5,32,0,0.41,0,1.55,0,1.97
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,23/24,6.83,34,1824,0,2,34,0,2,2,1,34,2,17,6,3,990,86.8,27,29.7,2,15.4,4,7,0,0,14,34,23,0,28,0,0.65,2,1.99,2,2.64
Atletico Madrid,Defender,Cesar Azpilicueta,cesar-azpilicueta,21555,24/25,6.88,18,1063,1,0,18,1,5,2,0,18,0,3,0,1,598,87.0,23,39.0,2,40.0,3,3,0,0,8,32,7,2,13,1,0.24,0,0.50,1,0.74
