current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,15/16,6.54,5,303,0,1,5,0,2,0,0,5,1,2,0,3,40,64.5,2,100.0,1,25.0,0,2,0,0,0,4,1,1,9,0,,1,,1,
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,18/19,6.65,9,312,1,0,9,1,12,4,3,9,0,4,0,0,52,77.6,3,100.0,0,,1,0,0,0,4,6,3,5,16,1,,0,,1,
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,20/21,6.69,39,2175,3,2,39,3,57,16,7,39,2,20,2,26,362,69.3,25,51.0,3,13.0,2,4,0,0,30,29,18,15,71,3,,2,,5,
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,21/22,6.98,37,2554,13,1,37,13,103,36,12,37,1,28,2,32,422,63.1,22,57.9,11,28.2,1,4,0,0,23,27,8,24,133,13,,1,,14,
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,22/23,6.81,37,1672,6,2,37,6,61,22,6,37,2,20,4,13,321,73.3,17,73.9,1,14.3,0,2,0,0,14,26,6,20,34,6,6.13,2,1.18,8,7.31
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,23/24,7.20,36,2545,16,5,36,16,78,36,9,36,5,31,5,21,476,69.9,16,55.2,3,27.3,3,2,0,0,26,36,18,23,82,16,11.71,5,1.76,21,13.47
Athletic club,Forward,Gorka Guruzeta,gorka-guruzeta,605672,24/25,6.82,49,2612,7,5,49,7,79,25,11,49,5,26,4,16,440,74.2,18,58.1,0,,3,2,0,1,27,23,11,18,59,7,7.66,5,1.21,12,8.87
