current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,19/20,6.78,6,236,0,0,6,0,1,0,1,6,0,0,0,1,194,93.7,6,60.0,,,2,0,1,0,0,3,0,0,6,0,,0,,0,
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,20/21,6.97,33,2239,2,1,33,2,20,7,4,33,1,4,0,9,1471,90.5,52,41.9,,,5,3,0,1,2,34,30,3,83,2,,1,,3,
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,21/22,6.96,43,3284,4,0,43,4,27,11,0,43,0,8,2,15,2019,89.0,117,49.8,4,36.4,6,7,0,0,6,60,31,4,84,4,,0,,4,
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,22/23,7.00,31,2602,1,2,31,1,25,3,4,31,2,7,1,14,1487,88.0,108,56.8,2,28.6,14,8,1,0,7,39,16,3,61,1,2.17,2,0.78,3,2.94
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,23/24,6.98,37,3024,1,2,37,1,30,10,2,37,2,14,3,11,2058,88.9,114,47.9,2,22.2,9,9,2,2,8,46,22,10,87,1,3.01,2,2.00,3,5.02
Barcelona,Defender,Ronald Araujo,ronald-araujo,925097,24/25,7.01,23,1454,2,2,23,2,11,5,2,23,2,6,2,1,1036,91.1,36,46.2,,,2,3,0,1,2,30,13,1,61,2,1.46,2,0.29,4,1.74
