position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Forward,Nicolas Pépé,nicolas-pepe,593526,23/24,7.03,20,1149,6,2,20,6,26,13,0,20,2,17,2,20,405,86.5,8,66.7,3,15.0,1,0,0,0,10,10,6,6,7,6,2.97,2,1.67,8,4.64
Forward,Nicolas Pépé,nicolas-pepe,593526,24/25,7.09,25,1311,2,5,25,2,36,16,4,25,5,28,8,22,428,82.8,12,70.6,11,26.8,2,3,0,0,7,19,5,9,16,2,3.55,5,3.75,7,7.30
