current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Forward,Ferran Torres,ferran-torres,855833,17/18,6.63,16,358,0,2,16,0,3,2,1,16,2,6,1,9,84,70.6,7,63.6,1,5.9,0,0,0,0,4,11,4,0,5,0,,2,,2,
Barcelona,Forward,Ferran Torres,ferran-torres,855833,18/19,6.77,37,1752,3,2,37,3,30,10,2,37,2,29,6,33,470,77.3,19,47.5,19,23.5,4,6,0,0,10,25,15,6,53,3,,2,,5,
Barcelona,Forward,Ferran Torres,ferran-torres,855833,19/20,6.82,44,3123,6,8,44,6,52,20,8,44,8,40,16,68,752,78.9,23,51.1,20,15.6,7,5,0,0,36,34,20,14,61,6,,8,,14,
Barcelona,Forward,Ferran Torres,ferran-torres,855833,20/21,6.93,36,2109,13,3,36,13,62,26,7,36,3,27,4,30,546,86.5,17,77.3,5,12.2,5,1,0,0,14,17,8,18,20,13,,3,,16,
Barcelona,Forward,Ferran Torres,ferran-torres,855833,21/22,6.96,33,2582,10,7,33,10,93,32,12,33,7,21,8,31,779,83.2,30,85.7,0,,6,2,0,0,15,13,12,25,21,10,,7,,17,
Barcelona,Forward,Ferran Torres,ferran-torres,855833,22/23,6.82,45,1910,7,3,45,7,50,17,8,45,3,36,12,37,553,81.4,17,48.6,24,32.4,5,7,1,0,16,17,4,14,13,7,6.29,3,4.65,10,10.93
Barcelona,Forward,Ferran Torres,ferran-torres,855833,23/24,6.98,42,2002,11,3,42,11,63,24,8,42,3,38,2,18,557,80.1,26,76.5,17,32.7,2,5,0,0,13,15,5,16,10,11,7.35,3,2.16,14,9.51
Barcelona,Forward,Ferran Torres,ferran-torres,855833,24/25,7.09,45,1930,19,7,45,19,74,36,15,45,7,31,8,22,398,78.0,10,55.6,3,13.0,2,2,1,0,7,10,5,16,12,19,11.01,7,2.83,26,13.85
