current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,16/17,7.25,10,375,2,0,10,2,7,5,1,10,0,16,1,12,284,86.6,11,78.6,2,25.0,0,0,0,0,1,7,6,1,7,2,,0,,2,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,17/18,7.37,26,1747,1,7,26,1,16,4,2,26,7,36,3,62,1379,91.2,68,81.9,0,,5,2,0,1,11,37,26,4,25,1,,7,,8,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,18/19,7.26,52,4410,3,3,52,3,39,12,1,52,3,71,8,99,3762,91.2,123,75.5,9,33.3,17,3,0,2,53,96,87,13,70,3,,3,,6,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,19/20,6.98,42,3226,2,3,42,2,8,6,0,42,3,30,3,73,2239,91.5,96,80.7,2,33.3,8,3,1,0,32,46,37,1,16,2,,3,,5,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,20/21,7.20,51,4494,7,7,51,7,25,10,8,51,7,62,12,80,3518,92.3,97,73.5,1,11.1,14,6,0,0,28,62,62,6,51,7,,7,,14,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,21/22,7.03,47,3529,4,5,47,4,29,11,9,47,5,58,5,65,2160,91.2,96,82.8,7,18.4,8,9,1,0,17,55,29,5,36,4,,5,,9,
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,22/23,7.20,43,3282,2,4,43,2,21,12,3,43,4,50,9,47,2530,91.3,118,81.9,14,29.2,13,3,0,0,29,61,43,3,40,2,2.42,4,6.81,6,9.23
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,23/24,7.30,30,2512,2,0,30,2,7,4,0,30,0,31,5,20,2198,92.7,75,70.1,10,35.7,7,10,0,0,17,57,23,2,31,2,0.70,0,5.05,2,5.75
Barcelona,Midfielder,Frenkie de Jong,frenkie-de-jong,795222,24/25,6.97,43,2359,2,2,43,2,9,4,3,43,2,34,2,7,2076,94.0,63,75.0,2,22.2,4,7,0,1,21,47,26,4,28,2,1.65,2,2.45,4,4.10
