current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,18/19,7.20,24,1351,8,5,24,8,37,15,2,24,5,39,7,17,429,74.5,30,58.8,25,32.1,2,1,0,0,17,19,3,5,11,8,,5,,13,
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,19/20,7.42,46,3212,23,14,46,23,114,50,16,46,14,90,16,72,924,73.2,67,63.2,57,21.6,6,1,0,0,47,46,13,21,35,23,,14,,37,
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,20/21,7.64,26,2158,18,6,26,18,92,45,13,26,6,72,12,46,630,76.0,31,62.0,24,20.9,6,1,0,0,20,22,6,11,25,18,,6,,24,
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,22/23,7.01,49,2568,17,4,49,17,82,39,5,49,4,33,6,29,620,83.4,28,73.7,8,20.0,11,1,0,0,30,38,4,21,16,17,9.37,4,2.24,21,11.61
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,23/24,7.42,54,3483,19,13,54,19,132,59,15,54,13,98,11,28,1260,87.9,30,68.2,43,23.5,5,5,0,0,32,35,4,31,7,19,14.86,13,7.21,32,22.07
Atletico Madrid,Forward,Julian Alvarez,julian-alvarez,944656,24/25,7.28,51,3461,27,5,51,27,105,57,8,51,5,57,10,45,954,80.3,46,63.0,12,14.3,4,6,0,0,29,41,11,18,16,27,14.80,5,4.65,32,19.44
