current_team,position,name,sofascore_name,id,Year,General_rating_GK_ASR,General_GK_MP,General_GK_MIN,General_GK_CLS,General_GK_GC,Goalkeeping_GK_MP,Goalkeeping_GK_SAV,Goalkeeping_GK_SAV%,Goalkeeping_GK_PS,Goalkeeping_GK_PS%,Passing_GK_APS,Passing_GK_APS%,Passing_GK_ALB,Passing_GK_LBA%,Defending_GK_CLS,Defending_GK_YC,Defending_GK_RC,Defending_GK_ELTG,Defending_GK_DRP,Defending_GK_TACK,Defending_GK_INT,Defending_GK_ADW,Additional_GK_GC,Additional_GK_xGC,Additional_GK_GP
Villarreal,Goalkeeper,Luiz Junior,luiz-junior,1066603,21/22,6.88,31,2790,8,46,31,90,66.2,2,25.0,516,66.6,208,45.3,8,4,0,1,2,1,0,7,46,,
Villarreal,Goalkeeper,Luiz Junior,luiz-junior,1066603,22/23,6.98,35,3180,10,50,35,111,68.9,2,20.0,594,63.7,248,42.8,10,3,0,1,4,0,0,16,50,,
Villarreal,Goalkeeper,Luiz Junior,luiz-junior,1066603,23/24,7.31,34,3060,8,41,34,114,73.5,3,37.5,688,71.4,222,45.1,8,3,0,2,3,1,1,14,41,50.5,9.49
Villarreal,Goalkeeper,Luiz Junior,luiz-junior,1066603,24/25,7.04,18,1547,5,18,18,44,71.0,0,,286,67.8,85,38.8,5,3,0,1,0,0,0,7,18,17.8,-0.21
