current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,19/20,6.80,21,1416,0,1,21,0,19,8,1,21,1,10,1,19,780,85.2,24,55.8,0,,3,7,0,0,18,33,19,4,23,0,,1,,1,
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,20/21,7.15,42,3394,3,3,42,3,60,12,5,42,3,19,5,24,1699,83.4,103,57.2,4,11.4,13,8,1,0,48,140,68,19,89,3,,3,,6,
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,21/22,7.34,50,4232,5,3,50,5,78,19,2,50,3,29,6,62,2527,86.5,152,64.7,7,20.0,13,13,1,0,49,126,144,29,105,5,,3,,8,
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,22/23,7.02,50,2873,0,4,50,0,49,10,1,50,4,25,4,34,2132,93.5,55,73.3,2,14.3,6,4,0,0,17,75,60,21,59,0,2.21,4,2.32,4,4.53
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,23/24,7.13,38,2816,3,1,38,3,35,7,0,38,1,16,1,6,1885,92.1,69,67.6,5,17.9,12,11,0,0,15,51,43,15,69,3,1.42,1,1.65,4,3.08
Real Madrid,Midfielder,Aurelien Tchouameni,aurelien-tchouameni,859025,24/25,7.14,49,4100,2,1,49,2,35,11,4,49,1,16,2,20,2671,93.0,96,64.9,1,6.7,11,10,0,0,27,79,72,10,94,2,1.76,1,1.26,3,3.02
