current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,16/17,7.17,39,3143,1,3,39,1,34,12,0,39,3,53,8,72,2068,89.2,147,74.2,18,35.3,7,4,0,1,34,50,77,10,14,1,,3,,4,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,17/18,7.22,40,3067,2,7,40,2,46,11,2,40,7,51,11,67,2135,90.0,189,79.1,5,13.9,7,5,0,0,39,50,45,14,10,2,,7,,9,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,18/19,7.07,44,3390,3,7,44,3,49,17,3,44,7,67,8,64,2214,89.2,183,78.9,21,23.9,5,8,0,0,47,60,48,14,15,3,,7,,10,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,19/20,7.07,40,2638,5,7,40,5,44,17,0,40,7,58,4,49,1693,88.6,147,80.3,21,29.2,8,11,1,1,33,44,29,12,15,5,,7,,12,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,20/21,7.26,48,3721,6,6,48,6,58,19,1,48,6,68,9,69,2755,88.5,223,76.9,17,17.7,10,4,0,0,41,50,66,21,23,6,,6,,12,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,21/22,7.15,45,3437,3,12,45,3,45,17,3,45,12,55,14,50,2391,90.0,155,77.5,14,22.2,5,7,0,0,35,34,38,20,16,3,,12,,15,
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,22/23,6.98,52,3173,6,6,52,6,45,11,2,52,6,61,13,33,2330,90.5,124,76.1,24,23.5,3,7,0,0,22,35,23,17,18,6,5.52,6,6.14,12,11.66
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,23/24,7.23,46,2245,2,7,46,2,32,12,1,46,7,78,14,22,1904,91.4,128,79.5,31,23.0,2,2,0,0,19,28,27,10,13,2,2.36,7,5.81,9,8.17
Real Madrid,Midfielder,Luka Modric,luka-modric,15466,24/25,7.26,53,2596,4,7,53,4,26,10,1,53,7,90,20,24,2333,92.1,165,77.5,40,26.7,2,11,0,1,30,45,42,8,9,4,1.64,7,7.57,11,9.21
