current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Barcelona,Defender,Jules Kounde,jules-kounde,827212,17/18,6.99,18,1588,2,0,18,2,10,3,1,18,0,5,1,4,704,83.7,62,44.0,0,,5,1,0,0,4,26,14,2,30,2,,0,,2,
Barcelona,Defender,Jules Kounde,jules-kounde,827212,18/19,6.81,42,3780,1,1,42,1,16,2,2,42,1,10,1,13,1765,80.0,140,37.5,1,20.0,12,4,0,3,16,56,59,4,132,1,,1,,2,
Barcelona,Defender,Jules Kounde,jules-kounde,827212,19/20,7.02,40,3251,2,1,40,2,36,10,6,40,1,9,0,23,1985,88.3,125,53.2,2,10.5,18,6,0,0,10,31,31,8,119,2,,1,,3,
Barcelona,Defender,Jules Kounde,jules-kounde,827212,20/21,7.09,49,4124,4,1,49,4,36,15,2,49,1,15,2,39,2819,88.9,138,52.7,4,12.9,20,8,0,0,15,40,54,5,143,4,,1,,5,
Barcelona,Defender,Jules Kounde,jules-kounde,827212,21/22,7.11,44,3748,3,1,44,3,25,9,0,44,1,18,4,31,2542,88.1,184,57.9,5,21.7,16,3,2,0,20,48,34,5,107,3,,1,,4,
Barcelona,Defender,Jules Kounde,jules-kounde,827212,22/23,7.01,40,3456,1,6,40,1,17,3,4,40,6,21,6,21,2286,88.7,86,54.1,9,19.6,20,2,0,1,18,53,33,4,59,1,1.38,6,2.60,7,3.97
Barcelona,Defender,Jules Kounde,jules-kounde,827212,23/24,7.19,48,4099,2,4,48,2,30,11,1,48,4,31,7,24,3110,90.2,157,58.8,13,29.5,18,5,0,1,28,59,43,9,105,2,2.12,4,2.84,6,4.96
Barcelona,Defender,Jules Kounde,jules-kounde,827212,24/25,7.14,53,4423,4,8,53,4,30,11,4,53,8,47,11,34,2634,88.8,86,51.8,18,18.8,14,5,0,1,36,85,38,7,53,4,2.41,8,4.93,12,7.34
