current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Midfielder,Pepelu,pepelu,826948,19/20,7.15,33,2906,2,4,33,2,21,6,1,33,4,49,9,11,1272,80.2,144,53.7,41,39.0,9,8,0,0,29,61,62,4,50,2,,4,,6,
ValenciaCF,Midfielder,Pepelu,pepelu,826948,20/21,6.82,30,2392,1,0,30,1,15,3,3,30,0,15,1,13,1138,85.8,106,65.8,3,25.0,4,7,0,0,30,47,53,5,39,1,,0,,1,
ValenciaCF,Midfielder,Pepelu,pepelu,826948,21/22,6.89,30,2152,0,1,30,0,15,2,1,30,1,30,6,14,1054,81.5,84,53.2,28,43.1,2,9,0,0,29,49,38,7,35,0,,1,,1,
ValenciaCF,Midfielder,Pepelu,pepelu,826948,22/23,7.16,45,3743,1,2,45,1,42,13,4,45,2,50,8,20,2107,86.3,224,69.6,32,36.8,16,12,1,0,35,106,57,14,48,1,,2,,3,
ValenciaCF,Midfielder,Pepelu,pepelu,826948,23/24,7.28,39,3495,8,1,39,8,38,13,1,39,1,62,3,13,1785,82.6,150,56.2,52,31.5,12,5,0,0,36,86,51,8,59,8,7.28,1,4.52,9,11.80
ValenciaCF,Midfielder,Pepelu,pepelu,826948,24/25,7.10,37,2089,3,3,37,3,20,8,0,37,3,38,7,10,1145,84.9,110,62.5,32,25.6,6,7,1,0,17,55,28,4,25,3,2.08,3,2.53,6,4.61
