position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Forward,Gerard Moreno,gerard-moreno,146866,16/17,7.11,38,3400,13,4,38,13,82,33,3,38,4,33,5,47,787,71.2,70,65.4,4,11.8,8,6,0,0,47,57,30,12,100,13,,4,,17,
Forward,Gerard Moreno,gerard-moreno,146866,17/18,7.25,44,3884,19,2,44,19,124,55,12,44,2,48,9,68,942,70.1,79,64.2,3,6.7,13,6,0,0,49,45,19,25,153,19,,2,,21,
Forward,Gerard Moreno,gerard-moreno,146866,18/19,7.03,49,3095,13,3,49,13,100,45,17,49,3,57,9,43,770,74.7,60,70.6,7,23.3,6,5,0,0,27,31,13,29,85,13,,3,,16,
Forward,Gerard Moreno,gerard-moreno,146866,19/20,7.29,37,2917,20,5,37,20,100,40,13,37,5,54,13,64,794,75.0,68,68.7,11,16.9,6,5,0,0,42,19,10,21,58,20,,5,,25,
Forward,Gerard Moreno,gerard-moreno,146866,20/21,7.49,46,3589,30,10,46,30,131,61,13,46,10,58,17,90,1039,69.4,83,65.9,14,31.1,6,4,0,0,39,32,19,29,83,30,,10,,40,
Forward,Gerard Moreno,gerard-moreno,146866,21/22,7.28,27,1910,13,7,27,13,65,26,8,27,7,41,12,45,464,67.7,39,66.1,5,25.0,3,3,0,0,20,14,11,17,38,13,,7,,20,
Forward,Gerard Moreno,gerard-moreno,146866,22/23,7.03,29,1704,11,6,29,11,58,31,16,29,6,29,6,34,507,76.0,30,76.9,1,8.3,3,4,0,0,3,12,5,8,23,11,9.92,6,1.54,17,11.46
Forward,Gerard Moreno,gerard-moreno,146866,23/24,7.30,37,2604,11,7,37,11,76,27,10,37,7,66,11,49,910,79.1,66,69.5,8,24.2,1,1,0,0,17,31,11,19,32,11,11.87,7,5.08,18,16.94
Forward,Gerard Moreno,gerard-moreno,146866,24/25,7.08,16,739,3,1,16,3,26,12,1,16,1,15,5,15,214,77.8,19,63.3,3,30.0,0,0,0,0,8,8,3,5,17,3,4.15,1,1.72,4,5.87
