current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Defender,Jesus Vazquez,jesus-vazquez,996929,20/21,7.10,1,86,0,0,1,0,,,0,1,0,3,1,0,21,63.6,2,25.0,1,33.3,0,0,0,0,0,1,3,,,0,,0,,0,
ValenciaCF,Defender,Jesus Vazquez,jesus-vazquez,996929,21/22,6.67,17,987,0,0,17,0,5,1,1,17,0,6,0,32,207,70.9,10,28.6,4,13.3,2,1,0,0,14,30,9,1,12,0,,0,,0,
ValenciaCF,Defender,Jesus Vazquez,jesus-vazquez,996929,22/23,6.56,12,423,0,1,12,0,6,1,0,12,1,4,0,7,151,84.4,2,28.6,5,35.7,1,1,0,0,6,16,2,2,3,0,0.18,1,0.46,1,0.64
ValenciaCF,Defender,Jesus Vazquez,jesus-vazquez,996929,23/24,6.60,23,941,1,0,23,1,9,2,1,23,0,8,0,8,198,70.7,7,21.2,6,24.0,2,1,0,0,10,29,4,3,15,1,1.16,0,0.17,1,1.33
ValenciaCF,Defender,Jesus Vazquez,jesus-vazquez,996929,24/25,6.70,23,1287,0,0,23,0,9,3,0,23,0,6,2,19,328,78.7,15,41.7,4,13.3,5,3,0,0,15,38,15,4,14,0,0.16,0,0.55,0,0.71
