position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Midfielder,Dani Parejo,dani-parejo,39182,16/17,7.13,39,3420,6,7,39,6,55,28,3,39,7,71,8,33,2016,86.7,142,74.7,48,22.9,6,12,0,0,55,106,43,12,30,6,,7,,13,
Midfielder,Dani Parejo,dani-parejo,39182,17/18,7.53,42,3619,8,9,42,8,54,23,0,42,9,89,11,52,2423,85.2,238,69.4,72,36.2,11,17,1,1,69,100,42,11,23,8,,9,,17,
Midfielder,Dani Parejo,dani-parejo,39182,18/19,7.38,56,4695,10,7,56,10,66,27,6,56,7,117,12,62,2986,86.3,285,73.1,100,36.5,16,10,1,0,87,100,64,14,39,10,,7,,17,
Midfielder,Dani Parejo,dani-parejo,39182,19/20,7.34,47,4140,10,6,47,10,47,22,4,47,6,87,9,59,2780,86.9,294,74.6,71,31.4,10,6,1,0,96,90,35,12,24,10,,6,,16,
Midfielder,Dani Parejo,dani-parejo,39182,20/21,7.32,53,4285,3,8,53,3,37,14,0,53,8,68,9,49,3200,90.3,235,74.4,59,36.0,10,7,0,0,60,85,60,8,31,3,,8,,11,
Midfielder,Dani Parejo,dani-parejo,39182,21/22,7.35,46,3784,3,13,46,3,22,7,0,46,13,90,16,27,2290,86.7,178,66.7,71,38.8,8,5,0,0,42,63,38,6,22,3,,13,,16,
Midfielder,Dani Parejo,dani-parejo,39182,22/23,7.20,50,3862,3,6,50,3,34,11,2,50,6,66,9,33,2714,91.3,196,76.9,44,25.7,11,7,0,1,55,82,37,9,20,3,4.83,6,5.99,9,10.82
Midfielder,Dani Parejo,dani-parejo,39182,23/24,7.12,41,3164,4,5,41,4,18,7,0,41,5,42,6,21,1978,90.2,143,74.1,26,33.8,4,5,0,1,32,52,25,4,27,4,3.20,5,4.72,9,7.92
Midfielder,Dani Parejo,dani-parejo,39182,24/25,7.06,35,2277,3,3,35,3,13,4,1,35,3,22,2,8,1373,89.2,97,67.4,13,36.1,1,7,0,0,23,54,25,3,24,3,2.42,3,1.84,6,4.25
