current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
Betis,Defender,Romain Perraud,romain-perraud,827519,16/17,6.40,1,90,0,0,1,0,1,0,0,1,0,1,0,0,35,89.7,2,50.0,1,25.0,0,0,0,0,1,2,1,1,,0,,0,,0,
Betis,Defender,Romain Perraud,romain-perraud,827519,17/18,7.00,3,93,0,0,3,0,1,0,0,3,0,0,0,1,56,86.2,0,,0,,0,0,0,0,0,3,3,0,,0,,0,,0,
Betis,Defender,Romain Perraud,romain-perraud,827519,18/19,7.09,33,3000,5,1,33,5,51,15,1,33,1,34,5,15,1107,76.9,78,34.1,26,21.8,20,4,0,0,24,55,45,17,36,5,,1,,6,
Betis,Defender,Romain Perraud,romain-perraud,827519,19/20,6.67,23,1939,0,1,23,0,25,4,1,23,1,20,0,15,753,78.4,32,26.4,17,25.4,4,2,0,0,17,35,27,8,14,0,,1,,1,
Betis,Defender,Romain Perraud,romain-perraud,827519,20/21,6.96,36,3147,3,7,36,3,45,12,3,36,7,37,5,31,1237,79.9,81,38.4,38,29.0,7,4,0,0,21,60,45,10,27,3,,7,,10,
Betis,Defender,Romain Perraud,romain-perraud,827519,21/22,6.61,23,1933,1,1,23,1,21,5,1,23,1,10,2,10,491,72.4,13,14.8,7,9.6,3,4,0,0,18,39,21,5,19,1,,1,,2,
Betis,Defender,Romain Perraud,romain-perraud,827519,22/23,6.62,36,2332,4,2,36,4,44,9,0,36,2,17,4,11,736,77.1,24,24.2,19,17.9,2,5,0,0,27,61,25,24,18,4,1.29,2,1.89,6,3.18
Betis,Defender,Romain Perraud,romain-perraud,827519,23/24,6.51,22,536,0,1,22,0,4,0,0,22,1,4,1,2,262,84.2,8,33.3,3,12.5,0,3,0,1,9,9,6,1,10,0,0.04,1,0.68,1,0.72
Betis,Defender,Romain Perraud,romain-perraud,827519,24/25,6.71,38,2761,2,2,38,2,22,4,0,38,2,26,5,13,1051,83.1,29,28.7,17,18.9,3,10,1,1,39,50,29,9,15,2,0.51,2,1.69,4,2.20
