current_team,position,name,sofascore_name,id,Year,General_rating_OF_ASR,General_OF_MP,General_OF_MIN,General_OF_GLS,General_OF_AST,Shooting_OF_MP,Shooting_OF_GLS,Shooting_OF_TOS,Shooting_OF_SOT,Shooting_OF_BCM,Team play_OF_MP,Team play_OF_AST,Team play_OF_KEYP,Team play_OF_BCC,Team play_OF_SDR,Passing_OF_APS,Passing_OF_APS%,Passing_OF_ALB,Passing_OF_LBA%,Passing_OF_ACR,Passing_OF_CA%,Defending_OF_CLS,Defending_OF_YC,Defending_OF_RC,Defending_OF_ELTG,Defending_OF_DRP,Defending_OF_TACK,Defending_OF_INT,Defending_OF_BLS,Defending_OF_ADW,Additional_OF_GLS,Additional_OF_xG,Additional_OF_AST,Additional_OF_XA,Additional_OF_GI,Additional_OF_XGI
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,19/20,6.55,3,23,0,0,3,0,,,0,3,0,0,0,0,13,81.3,0,,,,0,0,0,0,0,2,1,,,0,,0,,0,
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,20/21,6.81,22,1185,4,2,22,4,27,12,1,22,2,17,3,27,285,84.8,12,63.2,9,33.3,0,2,0,2,8,11,7,9,7,4,,2,,6,
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,21/22,6.81,18,1271,1,1,18,1,32,10,2,18,1,20,3,34,336,83.4,12,75.0,7,18.4,0,1,0,1,8,12,11,11,11,1,,1,,2,
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,22/23,7.15,26,2077,10,4,26,10,78,23,4,26,4,35,4,56,490,79.9,38,71.7,8,16.7,1,3,0,0,17,22,14,30,12,10,,4,,14,
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,23/24,6.90,26,707,1,0,26,1,16,8,0,26,0,16,0,10,265,87.2,11,57.9,13,27.7,0,0,0,0,5,17,2,5,4,1,1.17,0,1.06,1,2.23
ValenciaCF,Midfielder,Ivan Jaime,ivan-jaime,951986,24/25,6.82,21,903,3,2,21,3,26,9,2,21,2,16,2,13,250,85.9,7,77.8,3,23.1,0,1,0,1,11,11,6,11,11,3,1.88,2,1.17,5,3.04
